EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
"1","Scot","Hughes","Adam.Acker24@example.com","(564) 517-5025","29/12/2012 00:00:00","23395","95614.59","-0.03","7","-8136"
"2","Adele","Rand","byiswceo_myqdc@example.co","(684) 186-0087","05/09/2014 00:00:00","96299","20820.8","0.59","1","-3956"
"3","Luisa","Longo","Spriggs45@example.com","(260) 313-6443","24/11/2013 00:00:00","56518","117040.91","0.18","9","8644"
"4","Marielle","Moses","Enriqueta.Parks@example.c","(868) 864-8718","04/03/2019 00:00:00","00541","30820.81","0.39","3","8646"
"5","Lucio","Hughey","Emil.Beavers831@example.c","(451) 929-8321","01/08/2015 00:00:00","99399","107040.93","-0.02","2","8645"
"6","Mel","Randall","Tasha.Abbott@example.com","(133) 683-0582","31/12/2019 00:00:00","26208","20820.81","0.6","5","2025"
"7","Parker","Weaver","Hyo.Milton@nowhere.com","(765) 713-9006","30/12/2012 00:00:00","67824","117040.92","0.92","4","-6135"
"8","Alexia","Bain","Himes@example.com","(447) 838-0332","07/12/2019 00:00:00","80202","85614.59","-0.92","6","4026"
"9","Giovanni","Longoria","Jonelle.Aiken@nowhere.com","(730) 273-6683","06/09/2014 00:00:00","50330","46202.33","0.19","8","8"
"10","Catina","Cade","TanishaBolling@example.co","(812) 252-0427","24/09/2017 00:00:00","11015","30820.82","-0.71","12","6647"
"11","Elvie","Gilchrist","Rodriguez6@example.com","(977) 813-8110","20/05/2019 00:00:00","48924","56202.34","-0.18","11","4025"
"12","Avery","Baines","wfijk0@example.com","(826) 366-1014","14/02/2009 00:00:00","78560","78119.05","-0.91","10","6648"
